Date,Open,High,Low,Close,Adj Close,Volume
01-01-2025,0.315681994,0.326478004,0.311722994,0.324306011,0.324306011,1532271286
02-01-2025,0.324306011,0.344177991,0.324292004,0.338609993,0.338609993,3205163576
03-01-2025,0.338609993,0.387796998,0.335886002,0.379278988,0.379278988,4823481336
04-01-2025,0.379283011,0.397996992,0.378042996,0.394746006,0.394746006,4431717187
05-01-2025,0.394746006,0.397305012,0.376316011,0.382562995,0.382562995,2594267525
06-01-2025,0.382494003,0.393702,0.376551002,0.387957007,0.387957007,2937148475
07-01-2025,0.387952,0.397807986,0.348421991,0.348437011,0.348437011,5280516863
08-01-2025,0.348435998,0.355111003,0.326810002,0.342247993,0.342247993,4416730765
09-01-2025,0.342247009,0.346285999,0.315102994,0.320912004,0.320912004,3614560190
10-01-2025,0.320908993,0.338533998,0.320890993,0.333981007,0.333981007,3222794655
11-01-2025,0.333979011,0.347811013,0.330074996,0.340954989,0.340954989,1461005907
12-01-2025,0.340950012,0.342988998,0.332278013,0.335958987,0.335958987,1436724129
13-01-2025,0.335956007,0.345214009,0.311399013,0.338299006,0.338299006,3713750868
14-01-2025,0.338297009,0.361090988,0.336057991,0.35611999,0.35611999,3143614167
15-01-2025,0.35611999,0.387353987,0.348744005,0.385710001,0.385710001,4079184871
16-01-2025,0.385713011,0.389349014,0.368461013,0.376747996,0.376747996,4097841421
17-01-2025,0.376706004,0.420500994,0.375972986,0.415939003,0.415939003,6276540245
18-01-2025,0.415912986,0.433512002,0.387239009,0.396081001,0.396081001,7331618418
19-01-2025,0.396084994,0.408964992,0.352120012,0.357757002,0.357757002,9531626101
20-01-2025,0.357739002,0.38497299,0.347247005,0.354607999,0.354607999,8850825869
21-01-2025,0.354573011,0.400169998,0.335898995,0.371576995,0.371576995,9507969594
22-01-2025,0.371587992,0.373342007,0.355989009,0.363056004,0.363056004,2940097446
23-01-2025,0.362980008,0.364086986,0.342992991,0.352353007,0.352353007,3093003294
24-01-2025,0.352302015,0.363893002,0.343288004,0.350739986,0.350739986,2122786422
25-01-2025,0.350744992,0.359587997,0.345959991,0.353776008,0.353776008,1500843148
26-01-2025,0.353785008,0.357023001,0.336300999,0.336326003,0.336326003,1263299832
27-01-2025,0.336322993,0.336741,0.307810009,0.333822012,0.333822012,4453314117
28-01-2025,0.333817989,0.338645995,0.315834999,0.319074005,0.319074005,2019292120
29-01-2025,0.319074005,0.333508998,0.31794101,0.323864013,0.323864013,1981300959
30-01-2025,0.323870987,0.338084012,0.322871,0.331508994,0.331508994,1365524939
31-01-2025,0.331506997,0.340676993,0.324313015,0.32872799,0.32872799,1796042122
01-02-2025,0.328727007,0.33189401,0.304264009,0.308357,0.308357,1577548524
02-02-2025,0.308376998,0.314588994,0.254554987,0.267509013,0.267509013,5607210222
03-02-2025,0.267509997,0.292463988,0.211720005,0.28500399,0.28500399,11007373557
04-02-2025,0.285016,0.28846699,0.256291986,0.264144003,0.264144003,4306969827
05-02-2025,0.264128,0.269028008,0.254372001,0.256233007,0.256233007,1818131454
06-02-2025,0.256233007,0.265695006,0.243942007,0.248083994,0.248083994,1892595490
07-02-2025,0.248079002,0.261216998,0.239544004,0.246612996,0.246612996,2042225149
08-02-2025,0.246612996,0.25395,0.244992003,0.253266007,0.253266007,989182891
09-02-2025,0.253264993,0.259835988,0.240306005,0.249290004,0.249290004,1242077795
10-02-2025,0.249289006,0.255925,0.242061004,0.255259991,0.255259991,1342589439
11-02-2025,0.255264014,0.269232988,0.249031007,0.253122002,0.253122002,1721245015
12-02-2025,0.253122985,0.267030001,0.248890996,0.264122009,0.264122009,1949247514
13-02-2025,0.264129996,0.266918004,0.254049987,0.262492001,0.262492001,1492303517
14-02-2025,0.262490988,0.285293013,0.261209995,0.271928996,0.271928996,2320487584
15-02-2025,0.271932006,0.282678992,0.268940985,0.271723986,0.271723986,1624562147
16-02-2025,0.271726012,0.273815989,0.264238,0.265740007,0.265740007,969472255
17-02-2025,0.265758008,0.268498987,0.254483998,0.258148015,0.258148015,1369340298
18-02-2025,0.258148015,0.25939399,0.242603004,0.250901014,0.250901014,1601424562
19-02-2025,0.25090301,0.255223006,0.249277994,0.254768014,0.254768014,1007520306
20-02-2025,0.254767001,0.257459998,0.250512004,0.254860014,0.254860014,1119395680
21-02-2025,0.254857987,0.260930985,0.234918997,0.239308,0.239308,2024664109
22-02-2025,0.239314005,0.247665003,0.238340005,0.246722996,0.246722996,932077730
23-02-2025,0.246723995,0.247435004,0.240655005,0.243022993,0.243022993,707579811
24-02-2025,0.243021995,0.243827999,0.208322003,0.210359007,0.210359007,2239353273
25-02-2025,0.210372999,0.213920996,0.196764007,0.212389007,0.212389007,3432761745
26-02-2025,0.211267993,0.213502005,0.196364,0.205541,0.205541,2020402428
27-02-2025,0.202852994,0.211238995,0.201254994,0.206824005,0.206824005,1369944972
28-02-2025,0.206823006,0.206858993,0.181876004,0.201963007,0.201963007,2620914147
01-03-2025,0.201963007,0.208697006,0.199462995,0.206536993,0.206536993,1197948866
02-03-2025,0.206536993,0.241669998,0.201904997,0.239267007,0.239267007,3319886568
03-03-2025,0.239259005,0.239653006,0.194281995,0.199075997,0.199075997,2824331185
04-03-2025,0.199082002,0.201628998,0.183734,0.199146003,0.199146003,2366639397
05-03-2025,0.199143007,0.205956995,0.196583003,0.204720005,0.204720005,1433656840
06-03-2025,0.204719007,0.219230995,0.199566007,0.201727003,0.201727003,1799078197
07-03-2025,0.201727003,0.208331004,0.191547006,0.197972998,0.197972998,1829178903
08-03-2025,0.197972998,0.200669006,0.191505998,0.192172006,0.192172006,949946399
09-03-2025,0.192171007,0.193996996,0.166287005,0.167803004,0.167803004,1797791194
10-03-2025,0.167803004,0.180282995,0.151363999,0.154060006,0.154060006,2202314258
11-03-2025,0.154057994,0.168317005,0.145349994,0.164166003,0.164166003,2372945325
12-03-2025,0.164155006,0.172512993,0.159790993,0.172380999,0.172380999,1618464957
13-03-2025,0.172380999,0.172711,0.162094995,0.165065005,0.165065005,1437934838
14-03-2025,0.165065005,0.175702006,0.164927006,0.171799004,0.171799004,1042050428
15-03-2025,0.171765,0.177612007,0.171561003,0.176067993,0.176067993,731309597
16-03-2025,0.176066995,0.176698998,0.166226998,0.168235004,0.168235004,935490545
17-03-2025,0.168233007,0.175991997,0.168192998,0.173464999,0.173464999,1002401452
